,group_1.0,group_1.1,group_1.2,group_2.0,group_2.1,group_2.2,group_2.3,group_3.0,group_3.1,group_3.2,group_4.0,group_4.1,group_4.2
1018,62.578228,62.224842,62.379436,62.092354,61.981956,62.73287,62.335262,252.94131,252.9159,252.9159,63.749634,59.159626,44.091877
1019,62.60032,62.335266,62.35735,62.125473,61.981956,62.799152,62.51197,252.95404,252.9286,252.9286,63.572754,59.236702,44.113594
1020,62.62241,62.445694,62.335262,62.158596,61.981956,62.865437,62.688683,252.95404,252.9286,252.9286,63.39587,59.31378,44.135315
1021,62.500923,62.500916,62.32422,62.20276,62.048195,62.766014,62.799156,252.95404,252.9286,252.9286,63.30745,59.335808,44.189613
1022,62.379436,62.556137,62.31318,62.246925,62.114433,62.66659,62.90963,252.94131,252.9159,252.9159,63.21903,59.35783,44.243916
1023,62.445698,62.60032,62.24693,62.20276,62.037155,62.60032,62.876488,252.9286,252.90318,252.90318,63.130623,59.24772,44.439445
1024,62.51196,62.6445,62.18068,62.158596,61.95988,62.53405,62.84334,252.94131,252.9159,252.9159,63.04222,59.137604,44.63497
1025,62.51196,62.589275,62.257973,62.158596,61.926765,62.60032,62.721832,252.95404,252.9286,252.9286,63.086422,59.225693,44.461166
1026,62.51196,62.53405,62.335262,62.158596,61.89365,62.66659,62.60032,252.95404,252.94131,252.9159,63.130623,59.31378,44.28736
1027,62.45674,62.401527,62.434654,62.158596,61.937805,62.62241,62.58927,252.95404,252.95404,252.90318,63.252193,59.52305,44.026756
1028,62.40152,62.26901,62.53405,62.158596,61.981956,62.578228,62.578228,252.95404,252.94131,252.95404,63.373764,59.73232,43.766148
1029,62.423607,62.556137,62.379436,62.158596,61.95988,62.62241,62.578228,252.95404,252.9286,253.0049,63.373764,59.776386,43.657593
1030,62.423607,62.46778,62.31318,62.136513,61.95988,62.6445,62.60032,252.9286,252.9286,253.0049,62.66659,59.842487,44.46115
1031,62.777058,62.66659,61.981956,62.18068,61.95988,62.688683,62.489872,252.9286,252.95404,253.03033,61.95988,60.54783,43.766148
1032,62.51196,62.53405,62.335262,62.158596,61.95988,62.578228,62.688683,252.85233,252.90318,253.08119,63.4843,58.785336,44.439426
1033,62.6445,62.489872,62.26901,62.114433,61.805347,62.578228,62.158596,252.87775,252.90318,253.08119,63.639072,59.512016,43.87471
1034,62.31318,62.423607,62.489872,62.246925,61.95988,62.60032,62.66659,252.80145,253.0049,253.18292,63.462193,59.512016,43.766148
1035,62.66659,62.26901,62.335262,62.136513,61.915726,62.688683,62.46778,252.80145,253.0049,253.15749,62.777058,59.71029,44.113594
1036,62.40152,62.60032,62.489872,62.092354,61.8495,62.489872,62.31318,252.82689,253.08119,253.15749,63.639072,59.159626,43.570755
1037,62.578228,62.445694,62.35735,62.18068,61.981956,62.66659,62.578228,252.82689,253.10663,253.18292,63.02012,60.569878,41.315445
1038,62.51196,62.35735,62.423607,62.335262,61.95988,62.688683,62.90963,252.77603,253.10663,253.23378,62.688683,59.842487,44.46115
1039,62.335262,62.51196,62.335262,62.158596,61.981956,62.688683,62.35735,252.69974,253.13205,253.23378,63.55063,59.31378,43.91814
1040,62.53405,62.423607,62.423607,62.158596,61.981956,62.688683,62.60032,252.7506,253.18292,253.3355,63.749634,59.24771,44.439426
1041,62.489872,62.40152,62.379436,62.136513,61.95988,62.62241,62.821247,252.69974,253.13205,253.31007,62.887535,59.48999,44.005005
1042,62.445694,62.489872,62.335262,62.18068,62.026115,62.66659,62.578228,252.72516,253.15749,253.31007,62.84334,59.48999,44.113594
1043,62.423607,62.73287,62.224842,62.20276,61.78327,62.489872,62.578228,252.72516,253.23378,253.3355,63.440083,59.35783,44.178753
1044,62.379436,62.556137,62.40152,62.070274,61.89365,62.51196,62.31318,252.69974,253.23378,253.38637,63.992916,59.335808,43.570755
1045,62.51196,62.66659,62.26901,62.246925,61.95988,62.66659,62.6445,252.7506,253.25922,253.41179,62.710777,60.195103,43.766148
1046,62.688683,62.31318,62.20276,62.092354,61.981956,62.62241,62.335262,252.72516,253.23378,253.36093,63.130623,59.159626,43.744434
1047,62.40152,62.379436,62.489872,62.18068,62.004036,62.777058,62.62241,252.72516,253.23378,253.38637,63.130623,59.754353,44.113594
1048,62.688683,62.66659,62.31318,62.158596,61.981956,62.754963,62.51196,252.72516,253.23378,253.38637,63.285343,59.666225,44.28736
1049,62.51196,62.578228,62.26901,62.136513,61.981956,62.60032,62.46778,252.69974,253.23378,253.38637,62.489872,60.54783,43.18008
1050,62.51196,62.51196,62.335262,62.136513,61.871574,62.688683,62.46778,252.69974,253.20834,253.38637,63.21903,59.137604,44.46115
1051,62.66659,62.31318,62.423607,62.136513,62.246925,62.66659,62.953823,252.72516,253.23378,253.38637,63.39587,59.335808,44.265636
1052,62.578228,62.53405,62.40152,62.092354,62.070274,62.66659,62.51196,252.80145,253.31007,253.41179,63.373764,59.512016,43.744434
1053,62.51196,62.66659,62.26901,62.31318,61.871574,62.60032,62.66659,252.80145,253.23378,253.38637,62.865437,59.842487,44.113594
1054,62.46778,62.35735,62.46778,62.114433,61.95988,62.710777,62.754963,252.82689,253.3355,253.46265,61.981956,59.137604,44.982697
1055,62.53405,62.489872,62.335262,62.31318,61.871574,62.51196,62.578228,252.77603,253.31007,253.46265,63.639072,59.269737,44.005005
1056,62.511963,62.412567,62.379433,62.224846,61.915726,62.545094,62.62241,252.77603,253.31007,253.46265,63.351696,59.44595,44.04844
1057,62.489872,62.335262,62.423607,62.136513,61.95988,62.578228,62.66659,252.77603,253.31007,253.46265,63.06432,59.62216,44.091877
1058,62.46778,62.489872,62.35735,62.070274,61.95988,62.578228,62.46778,252.77603,253.28464,253.46265,63.39587,59.600132,44.352528
1059,62.57823,62.53405,62.269012,62.114433,61.95988,62.58927,62.66661,252.78874,253.31006,253.4245,63.174847,59.72131,44.233063
1060,62.688683,62.578228,62.18068,62.158596,61.95988,62.60032,62.865437,252.80145,253.3355,253.38637,62.953823,59.842487,44.113594
1061,62.335262,62.53405,62.489872,62.158596,61.95988,62.688683,62.51196,252.80145,253.31007,253.41179,62.721848,60.073902,43.7662
1062,62.51197,62.666603,62.291115,62.136513,61.94884,62.677635,62.500916,252.81418,253.31007,253.39908,62.489872,60.305317,43.418808
1063,62.688683,62.799152,62.092354,62.114433,61.9378,62.66659,62.489872,252.82689,253.31007,253.38637,62.688683,59.48999,44.200474
1064,62.5451,62.600334,62.280067,62.147556,61.882614,62.57823,62.57823,252.87775,253.31007,253.41179,64.270584,58.796562,43.972454
1065,62.40152,62.40152,62.46778,62.18068,61.827423,62.489872,62.66659,252.86504,253.29736,253.39908,65.852486,58.103134,43.744434
1066,62.35735,62.40152,62.35735,62.136513,61.981956,62.51196,62.53405,252.85233,253.28464,253.38637,63.373764,59.137604,44.78709
