,group_4.0,group_4.1,group_4.2
285,63.39587,58.785336,44.439426
286,62.710777,59.842487,43.939857
287,61.981956,59.666225,44.808823
288,63.749634,58.785336,44.765358
289,63.373764,59.512016,43.614174
290,62.578228,60.54783,43.418808
291,63.639072,59.269737,43.91814
292,62.953823,59.754353,43.679302
293,63.285343,59.688255,44.113594
294,63.4843,59.512016,43.87471
295,63.39587,59.335808,44.200474
296,62.777058,59.754353,44.113594
297,63.59485,59.512016,43.722725
298,63.196926,59.512016,43.831284
299,66.05191,55.949303,47.398098
300,63.373764,58.961456,44.46115
301,63.38482,59.280792,44.10279
302,63.39587,59.600132,43.744434
303,63.285343,59.31378,44.330807
304,63.207985,59.401886,44.35253
305,63.130623,59.48999,44.374252
306,63.04222,59.31378,44.113594
307,63.196938,59.368843,44.01587
308,63.351658,59.42391,43.91814
309,63.39587,59.137604,44.352528
310,63.38482,59.24772,44.091904
311,63.373764,59.35783,43.831284
312,63.06432,59.864525,43.939857
313,63.2522,59.73233,44.026726
314,63.440083,59.600132,44.113594
315,63.417976,59.63318,44.200478
316,63.39587,59.666225,44.28736
317,63.55063,59.22569,44.46115
318,61.57538,60.592785,43.419304
319,59.600132,61.95988,42.37746
320,64.08139,59.159626,43.744434
321,63.782845,59.192657,44.005035
322,63.4843,59.22569,44.265636
323,63.285343,59.776386,43.766148
324,63.37377,59.5708,43.874725
325,63.4622,59.36521,43.9833
326,63.55063,59.159626,44.091877
327,63.61696,59.512016,44.005005
328,63.80864,59.277126,44.09188
329,64.00032,59.042236,44.17876
330,64.192,58.807346,44.265636
331,64.015045,58.983486,44.265636
332,63.838093,59.159626,44.265636
333,63.661194,59.148613,44.450302
334,63.4843,59.137604,44.63497
335,63.29641,59.578194,44.037743
336,63.10852,60.01878,43.440514
337,63.38485,59.49012,44.1138
338,63.661182,58.961456,44.78709
339,63.440083,59.864525,43.744434
340,64.280495,58.675274,44.439426
341,62.799152,60.040817,41.662113
342,63.373764,59.864525,43.397106
343,63.57274,59.401882,44.091877
344,62.136513,60.54783,43.766148
345,63.39587,59.137604,44.439426
346,63.196926,59.864525,43.483925
347,63.52852,59.137604,44.330807
348,63.196926,59.512016,44.113594
349,63.130623,59.600132,43.744434
350,62.60032,59.842487,44.113594
351,63.04222,59.754353,44.091877
352,63.02012,59.754353,43.744434
353,63.72752,59.46796,44.243916
354,60.217144,60.54783,44.46115
355,63.285343,59.556076,43.91814
356,63.705406,59.159626,44.091877
357,62.84334,60.06286,43.766148
358,63.373764,59.62216,43.570755
359,63.02012,59.996742,43.397106
360,63.705406,59.159626,43.91814
361,63.373764,58.961456,44.309082
362,63.174824,59.401882,44.265636
363,63.21903,59.379856,43.831284
364,63.373764,59.666225,43.831284
365,60.90067,60.944782,43.418808
366,63.462193,59.62216,44.113594
367,63.39587,59.137604,44.63497
368,64.08139,60.569878,42.355778
369,62.578228,60.790394,43.15838
370,65.49803,57.047665,46.527065
371,63.196926,59.31378,43.852997
372,63.02012,59.48999,43.96157
373,61.95988,61.981956,40.79565
374,63.02012,60.12898,43.310287
375,63.07537,59.721382,43.71194
376,63.130623,59.31378,44.113594
377,62.688683,60.01878,45.1566
378,62.8544,59.765396,44.54823
379,63.02012,59.512016,43.939857
380,62.90963,59.666225,43.766148
381,64.059875,58.510815,44.37442
382,65.21013,57.355404,44.982697
383,62.777058,59.842487,44.113594
384,62.76601,59.897575,44.026726
385,62.754963,59.952667,43.939857
386,63.72752,59.512016,43.70101
387,63.550644,59.578106,43.809578
388,63.373764,59.644196,43.91814
389,63.196926,59.864525,43.483925
390,63.097473,59.853508,43.61418
391,62.99802,59.842487,43.744434
392,63.064323,59.853508,43.744434
393,63.130623,59.864525,43.744434
394,63.749634,59.159626,44.265636
395,63.5617,59.423943,43.918198
