,group_2.0,group_2.1,group_2.2,group_2.3
226,62.136513,61.981956,62.423607,62.335262
227,62.136513,61.95988,62.688683,62.51196
228,62.136513,62.18068,62.66659,62.865437
229,62.158596,61.981956,62.51196,62.51196
230,62.114433,61.981956,62.66659,62.51196
231,62.070274,61.981956,62.66659,62.423607
232,62.20276,61.981956,62.60032,62.6445
233,62.026115,62.114433,62.688683,62.688683
234,62.158596,61.915726,62.6445,62.688683
235,62.224842,61.7612,62.51196,62.489872
236,62.224842,61.871574,62.754963,62.777058
237,62.070274,61.95988,62.489872,62.66659
238,62.246925,61.78327,62.489872,62.578228
239,62.136513,61.915726,62.53405,62.445694
240,62.026115,61.95988,62.51196,62.777058
241,62.070274,61.717052,62.578228,62.335262
242,62.114433,61.89365,62.66659,62.51196
243,62.114433,61.981956,62.6445,62.51196
244,62.136513,61.95988,62.51196,62.51196
245,62.114433,61.78327,62.51196,62.445694
246,62.246925,61.95988,62.51196,62.84334
247,62.114433,61.95988,62.51196,62.51196
248,62.070274,61.89365,62.489872,62.51196
249,61.95988,61.95988,62.710777,62.578228
250,62.158596,61.981956,62.688683,62.51196
251,62.114433,62.026115,62.6445,62.53405
252,62.004036,61.95988,62.53405,62.60032
253,62.015076,61.838467,62.67765,62.379456
254,62.026115,61.717052,62.821247,62.158596
255,62.070274,61.95988,62.688683,62.489872
256,62.033478,61.893654,62.622414,62.489872
257,61.996677,61.827427,62.55614,62.489872
258,61.95988,61.7612,62.489872,62.489872
259,61.992996,61.915737,62.57823,62.545097
260,62.026115,62.070274,62.66659,62.60032
261,62.081314,61.970924,62.633453,62.60032
262,62.136513,61.871574,62.60032,62.60032
263,62.114433,61.540485,62.489872,62.114433
264,62.048195,61.871574,62.66659,62.35735
265,62.114433,61.871574,62.445694,62.66659
266,62.136513,61.95988,62.60032,62.578228
267,62.004036,61.89365,62.489872,62.489872
268,62.31318,61.628765,62.51196,62.20276
269,62.048195,61.805347,62.66659,62.46778
270,61.981956,61.78327,62.51196,62.489872
271,62.136513,61.78327,62.489872,62.31318
272,62.070274,61.89365,62.578228,62.489872
273,62.026115,61.981956,62.62241,62.423607
274,62.070274,61.95988,62.688683,62.53405
275,62.224842,61.95988,62.62241,62.865437
276,62.048195,61.95988,62.62241,62.66659
277,62.114433,61.871574,62.51196,62.445694
278,62.114433,61.78327,62.578228,62.489872
279,61.981956,61.95988,62.710777,62.335262
280,61.981956,61.981956,62.60032,62.51196
281,62.114433,62.048195,62.84334,62.777058
282,62.114433,61.981956,62.578228,62.51196
283,62.136513,61.95988,62.46778,62.66659
284,62.246925,61.981956,62.66659,62.556137
285,62.158596,61.981956,62.66659,62.51196
286,62.136513,61.981956,62.51196,62.335262
287,62.335262,61.739124,62.556137,62.556137
288,62.070274,61.95988,62.60032,62.60032
289,62.048195,61.871574,62.51196,62.35735
290,62.070274,61.871574,62.51196,62.46778
291,62.048195,61.981956,62.62241,62.335262
292,62.224842,61.95988,62.60032,62.578228
293,62.224842,62.158596,62.60032,62.865437
294,62.246925,61.827423,62.489872,62.62241
295,62.136513,61.9378,62.6445,62.489872
296,61.95988,61.981956,62.46778,62.246925
297,62.114433,61.9378,62.556137,62.51196
298,62.136513,62.246925,62.710777,62.865437
299,62.114433,61.8495,62.688683,62.53405
300,62.114433,61.95988,62.556137,62.6445
301,62.16964,61.95988,62.53405,62.6445
302,62.224842,61.95988,62.51196,62.6445
303,62.092354,62.026115,62.66659,62.53405
304,62.092354,62.015076,62.589275,62.567184
305,62.092354,62.004036,62.51196,62.60032
306,61.981956,62.070274,62.51196,62.423607
307,62.092358,62.048195,62.523003,62.511963
308,62.20276,62.026115,62.53405,62.60032
309,62.158596,61.650837,62.60032,62.158596
310,62.05924,61.78328,62.6445,62.324234
311,61.95988,61.915726,62.688683,62.489872
312,62.070274,61.650837,62.66659,62.26901
313,62.114433,61.772243,62.66659,62.523033
314,62.158596,61.89365,62.66659,62.777058
315,62.158596,61.805347,62.53405,62.335262
316,62.103394,61.70602,62.64451,62.32422
317,62.048195,61.606693,62.754963,62.31318
318,62.037155,61.739136,62.622417,62.412567
319,62.026115,61.871574,62.489872,62.51196
320,62.114433,61.871574,62.60032,62.46778
321,62.081314,61.8495,62.633453,62.40152
322,62.048195,61.827423,62.66659,62.335262
323,62.18068,61.981956,62.60032,62.578228
324,62.114437,61.981956,62.71079,62.49724
325,62.0482,61.981956,62.82126,62.416252
326,61.981956,61.981956,62.93173,62.335262
327,62.114433,61.95988,62.578228,62.489872
328,62.092354,61.886295,62.548775,62.430973
329,62.070274,61.81271,62.519325,62.372078
330,62.048195,61.739124,62.489872,62.31318
331,62.092354,61.80535,62.53405,62.489883
332,62.136513,61.871574,62.578228,62.66659
333,62.136513,61.915726,62.545094,62.721825
334,62.136513,61.95988,62.51196,62.777058
335,62.147552,61.95988,62.567184,62.86544
336,62.158596,61.95988,62.62241,62.953823
337,62.125473,61.95988,62.60032,62.69976
338,62.092354,61.95988,62.578228,62.445694
339,62.048195,61.981956,62.51196,62.423607
340,62.092354,61.915726,62.66659,62.51196
341,62.070274,61.95988,62.489872,62.556137
342,61.981956,61.981956,62.51196,62.335262
343,62.048195,61.871574,62.51196,62.489872
344,62.158596,61.95988,62.556137,62.688683
345,62.092354,61.95988,62.688683,62.62241
346,62.224842,61.95988,62.62241,62.710777
347,62.136513,61.871574,62.60032,62.489872
348,62.114433,61.981956,62.66659,62.688683
349,62.136513,61.95988,62.335262,62.489872
350,61.981956,61.95988,62.688683,62.423607
351,62.114433,61.915726,62.62241,62.489872
352,62.18068,61.95988,62.60032,62.66659
353,62.048195,61.827423,62.60032,62.51196
354,62.158596,61.915726,62.66659,62.53405
355,62.158596,61.95988,62.688683,62.777058
356,62.070274,61.95988,62.6445,62.578228
357,62.158596,61.981956,62.688683,62.335262
358,62.136513,61.871574,62.578228,62.578228
359,62.048195,61.981956,62.688683,62.335262
360,62.136513,61.95988,62.489872,62.66659
361,62.136513,62.070274,62.51196,62.51196
362,61.805347,61.717052,62.821247,62.136513
363,62.136513,61.915726,62.688683,62.556137
364,62.18068,62.026115,62.710777,62.51196
365,61.871574,62.048195,62.688683,62.379436
366,62.136513,61.981956,62.556137,62.578228
367,62.246925,62.136513,62.688683,62.953823
368,62.070274,61.95988,62.578228,62.53405
369,62.070274,61.981956,62.688683,62.335262
370,62.114433,61.95988,62.6445,62.556137
371,62.114433,61.89365,62.777058,62.291096
372,62.136513,62.224842,62.688683,62.93173
373,62.136513,61.9378,62.66659,62.6445
374,62.048195,61.915726,62.6445,62.578228
375,62.070274,61.937805,62.66659,62.567184
376,62.092354,61.95988,62.688683,62.556137
377,62.092354,61.981956,62.66659,62.66659
378,62.092354,61.981956,62.62241,62.633453
379,62.092354,61.981956,62.578228,62.60032
380,62.246925,61.981956,62.445694,62.60032
381,62.246925,61.882614,62.500916,62.43466
382,62.246925,61.78327,62.556137,62.26901
383,62.048195,61.805347,62.6445,62.423607
384,62.015076,61.860535,62.688683,62.39048
385,61.981956,61.915726,62.73287,62.35735
386,62.092354,61.915726,62.66659,62.445694
387,62.125473,61.94884,62.62241,62.47883
388,62.158596,61.981956,62.578228,62.51196
389,62.070274,62.070274,62.6445,62.688683
390,62.026115,62.015076,62.65555,62.58928
391,61.981956,61.95988,62.66659,62.489872
392,62.114433,61.827423,62.66659,62.51196
393,62.125473,61.893654,62.589275,62.67765
394,62.136513,61.95988,62.51196,62.84334
395,62.070274,62.015076,62.60032,62.666607
396,62.004036,62.070274,62.688683,62.489872
397,62.070274,61.981956,62.688683,62.335262
398,61.974606,61.996677,62.69605,62.453068
399,61.87894,62.011395,62.70341,62.570877
400,61.78327,62.026115,62.710777,62.688683
401,62.092354,61.981956,62.6445,62.556137
402,62.084995,62.004036,62.65923,62.570866
403,62.077633,62.026115,62.673954,62.58559
404,62.070274,62.048195,62.688683,62.60032
405,62.092354,61.959885,62.6445,62.45675
406,62.114433,61.871574,62.60032,62.31318
407,62.081314,61.871574,62.567184,62.401527
408,62.048195,61.871574,62.53405,62.489872
409,62.070274,61.948845,62.60032,62.523003
410,62.092354,62.026115,62.66659,62.556137
411,62.125473,61.992996,62.633453,62.633457
412,62.158596,61.95988,62.60032,62.710777
413,62.158596,62.246925,62.556137,62.865437
414,61.95988,62.070274,62.489872,62.66659
415,62.048195,62.048195,62.60032,62.688683
416,62.004036,62.015076,62.523006,62.611366
417,61.95988,61.981956,62.445694,62.53405
418,62.037155,61.970917,62.545097,62.666603
419,62.114433,61.95988,62.6445,62.799152
420,62.092354,62.048195,62.60032,62.942787
421,62.070274,62.136513,62.556137,63.08642
422,62.14756,62.081314,62.556137,62.953835
423,62.224842,62.026115,62.556137,62.821247
424,61.981956,61.981956,62.51196,62.31318
425,62.092354,61.871574,62.489872,62.40152
426,62.158596,61.871574,62.60032,62.578228
427,61.981956,61.78327,62.66659,62.489872
428,62.070274,62.048195,62.60032,62.73287
429,61.981956,61.606693,62.777058,62.048195
430,62.158596,61.981956,62.445694,62.578228
431,62.291096,61.827423,62.51196,62.66659
432,62.114433,61.95988,62.556137,62.62241
433,62.158596,61.95988,62.84334,62.688683
434,62.224842,61.981956,62.688683,62.31318
435,62.070274,61.95988,62.6445,62.556137
436,62.136513,62.026115,62.66659,62.66659
437,62.048195,61.981956,62.578228,62.335262
438,62.246925,62.004036,62.578228,62.777058
439,62.092354,61.9378,62.62241,62.62241
440,62.092354,61.981956,62.578228,62.556137
441,62.092354,61.9378,62.66659,62.66659
442,62.136513,62.070274,62.489872,62.423607
443,62.114433,61.915726,62.66659,62.53405
444,62.158596,62.026115,62.688683,62.84334
445,62.136513,61.904694,62.60032,62.688698
446,62.114433,61.78327,62.51196,62.53405
447,62.224842,62.026115,62.53405,62.865437
448,62.136513,61.78327,62.62241,62.489872
449,62.070274,61.95988,62.578228,62.578228
450,62.048195,61.981956,62.556137,62.46778
451,62.048195,61.89365,62.556137,62.489872
452,62.070274,61.95988,62.6445,62.53405
453,62.114433,62.048195,62.66659,62.688683
454,62.136513,61.915726,62.556137,62.489872
455,62.147552,61.8495,62.567184,62.57823
456,62.158596,61.78327,62.578228,62.66659
457,61.95988,62.026115,62.66659,62.53405
458,62.114433,61.9378,62.578228,62.688683
459,62.114433,61.827427,62.62241,62.58928
460,62.114433,61.717052,62.66659,62.489872
461,62.136513,61.95988,62.578228,62.51196
462,62.20276,61.95988,62.556137,62.73289
463,62.26901,61.95988,62.53405,62.953823
464,62.20276,61.970917,62.589275,62.73289
465,62.136513,61.981956,62.6445,62.51196
466,62.136513,61.959877,62.567184,62.589275
467,62.136513,61.9378,62.489872,62.66659
468,62.158596,62.070274,62.6445,62.53405
469,62.147552,62.004036,62.65555,62.523003
470,62.136513,61.9378,62.66659,62.51196
471,62.070274,61.739124,62.60032,62.445694
472,62.092354,61.89365,62.60032,62.489872
473,62.059235,61.981964,62.633453,62.500916
474,62.026115,62.070274,62.66659,62.51196
475,62.158596,61.981956,62.688683,62.53405
476,62.158596,62.004036,62.58928,62.611366
