,anomaly
242,45.545654
243,45.60974
244,45.605164
245,45.600586
246,45.600586
247,45.545654
248,45.4953
249,45.637207
250,45.70587
251,45.737915
252,45.678406
253,45.600586
254,45.582275
255,45.701294
256,45.838623
257,45.78369
258,45.678406
259,45.71045
260,45.618896
261,45.60974
262,45.65094
263,45.678406
264,45.67383
265,45.65094
266,45.618896
267,45.65094
268,45.637207
269,45.67383
270,45.664673
271,45.637207
272,45.59601
273,45.559387
274,45.582275
275,45.67383
276,45.655518
277,45.59601
278,45.618896
279,45.646362
280,45.618896
281,45.559387
282,45.53192
283,45.59143
284,45.655518
285,45.664673
286,45.605164
287,45.600586
288,45.600586
289,45.563965
290,45.577698
291,45.577698
292,45.559387
293,45.53192
294,45.51819
295,45.53192
296,45.563965
297,45.527344
298,45.509033
299,45.472412
300,45.444946
301,45.4541
302,45.449524
303,45.42206
304,45.563965
305,45.641785
306,45.559387
307,45.472412
308,45.486145
309,45.527344
310,45.522766
311,45.600586
312,45.63263
313,45.600586
314,45.568542
315,45.582275
316,45.623474
317,45.582275
318,45.582275
319,45.65094
320,45.742493
321,45.737915
322,45.655518
323,45.655518
324,45.5365
325,45.486145
326,45.51819
327,45.582275
328,45.63263
329,45.66925
330,45.637207
331,45.600586
332,45.646362
333,45.63263
334,45.618896
335,45.618896
336,45.527344
337,45.577698
338,45.62805
339,45.59601
340,45.4953
341,45.545654
342,45.66925
343,45.724182
344,45.70587
345,45.66925
346,45.67383
347,45.68756
348,45.67383
349,45.65094
350,45.66925
351,45.67383
352,45.68756
353,45.637207
354,45.60974
355,45.60974
356,45.65094
357,45.71045
358,45.742493
359,45.696716
360,45.664673
361,45.586853
362,45.59601
363,45.61432
364,45.60974
365,45.541077
366,45.53192
367,45.541077
368,45.59601
369,45.586853
370,45.490723
371,45.37628
372,45.43579
373,45.486145
374,45.486145
375,45.509033
376,45.449524
377,45.600586
378,45.605164
379,45.59601
380,45.563965
381,45.655518
382,45.59601
383,45.545654
384,45.51361
385,45.600586
386,45.623474
387,45.60974
388,45.60974
389,45.637207
390,45.682983
391,45.724182
392,45.74707
393,45.72876
394,45.67383
395,45.60974
396,45.623474
397,45.59601
398,45.59143
399,45.59601
400,45.582275
401,45.59143
402,45.59601
403,45.563965
404,45.586853
405,45.655518
406,45.66925
407,45.637207
408,45.68756
409,45.66925
410,45.72876
411,45.66925
412,45.65094
413,45.62805
414,45.62805
415,45.715027
416,45.600586
417,45.568542
418,45.600586
419,45.568542
420,45.618896
421,45.655518
422,45.559387
423,45.59601
424,45.65094
425,45.682983
426,45.682983
427,45.66925
428,45.66925
429,45.600586
430,45.490723
431,45.431213
432,45.472412
433,45.4953
434,45.563965
435,45.527344
436,45.522766
437,45.522766
438,45.53192
439,45.545654
440,45.60974
441,45.545654
442,45.499878
443,45.582275
444,45.605164
445,45.600586
446,45.63263
447,45.664673
448,45.65094
449,45.57312
450,45.618896
451,45.715027
452,45.742493
453,45.678406
454,45.76996
455,45.74707
456,45.67383
457,45.70587
458,45.779114
459,45.733337
460,45.756226
461,45.66925
462,45.67383
463,45.67383
464,45.655518
465,45.637207
466,45.67383
467,45.67383
468,45.605164
469,45.582275
470,45.559387
471,45.527344
472,45.559387
473,45.59601
474,45.586853
475,45.51361
476,45.4953
477,45.47699
478,45.55481
479,45.582275
480,45.545654
481,45.600586
482,45.577698
483,45.550232
484,45.62805
485,45.664673
486,45.623474
487,45.60974
488,45.563965
489,45.527344
490,45.600586
491,45.541077
492,45.65094
493,45.646362
494,45.623474
495,45.59601
496,45.61432
497,45.61432
498,45.637207
499,45.522766
500,45.55481
501,45.59143
502,45.600586
503,45.559387
504,45.605164
505,45.59601
506,45.637207
507,45.618896
508,45.59601
509,45.62805
510,45.68756
511,45.72876
512,45.563965
513,45.527344
514,45.586853
515,45.67383
516,45.74707
517,45.78369
518,45.664673
519,45.67383
520,45.66925
521,45.623474
522,45.63263
523,45.550232
524,45.527344
525,45.504456
526,45.545654
527,45.486145
528,45.504456
529,45.527344
530,45.51361
531,45.51361
532,45.541077
533,45.59601
534,45.577698
535,45.385437
536,45.335083
537,45.486145
538,45.490723
539,45.4541
540,45.522766
541,45.577698
542,45.586853
543,45.541077
544,45.509033
545,45.481567
546,45.563965
547,45.66925
548,45.74707
549,45.696716
550,45.63263
551,45.605164
552,45.62805
553,45.664673
554,45.646362
555,45.71045
556,45.637207
557,45.51819
558,45.618896
559,45.71045
560,45.742493
561,45.715027
562,45.637207
563,45.66925
564,45.600586
565,45.59601
566,45.641785
567,45.66925
568,45.641785
569,45.568542
570,45.67383
571,45.74707
572,45.696716
573,45.618896
574,45.641785
575,45.664673
576,45.65094
577,45.69214
578,45.71045
579,45.682983
580,45.655518
581,45.618896
582,45.701294
583,45.66925
584,45.545654
585,45.412903
586,45.51361
587,45.62805
588,45.61432
589,45.577698
590,45.637207
591,45.76538
592,45.701294
593,45.678406
594,45.742493
595,45.70587
596,45.618896
597,45.605164
598,45.66925
599,45.57312
600,45.577698
601,45.618896
602,45.618896
603,45.60974
604,45.71045
605,45.678406
606,45.655518
607,45.61432
608,45.66925
609,45.701294
610,45.51361
611,45.44037
612,45.47699
613,45.53192
614,45.467834
615,45.522766
616,45.522766
617,45.4953
618,45.490723
619,45.545654
620,45.527344
621,45.504456
622,45.541077
623,45.59601
624,45.522766
625,45.522766
626,45.490723
627,45.527344
628,45.550232
629,45.59601
630,45.637207
631,45.641785
632,45.696716
633,45.715027
634,45.563965
635,45.545654
636,45.600586
637,45.59601
638,45.582275
639,45.550232
640,45.5365
641,45.563965
642,45.63263
643,45.600586
644,45.65094
645,45.545654
646,45.59601
647,45.59601
648,45.61432
649,45.655518
650,45.646362
651,45.600586
652,45.522766
653,45.59143
654,45.59601
655,45.582275
656,45.641785
657,45.655518
658,45.582275
659,45.527344
660,45.481567
661,45.4953
662,45.472412
663,45.550232
664,45.586853
665,45.55481
666,45.545654
667,45.563965
668,45.527344
669,45.57312
670,45.57312
671,45.527344
672,45.5365
673,45.545654
674,45.490723
675,45.499878
676,45.51819
677,45.563965
678,45.577698
679,45.545654
680,45.527344
681,45.527344
682,45.59601
683,45.577698
684,45.59601
685,45.62805
686,45.61432
687,45.660095
688,45.664673
689,45.67383
690,45.63263
691,45.600586
692,45.559387
693,45.605164
694,45.69214
695,45.69214
696,45.71045
697,45.756226
698,45.682983
